id;code;orderDate;shipDate;shipMode;id_customers;Customer ID
749;CA-2014-130274;3/5/2014;5/5/2014;First Class;186;JS-15940
750;CA-2017-158386;16/10/2017;21/10/2017;Standard Class;492;BO-11425
751;CA-2015-111507;6/2/2015;13/2/2015;Standard Class;101;VW-21775
752;CA-2017-120761;4/9/2017;8/9/2017;Standard Class;493;AB-10150
753;CA-2016-109176;9/5/2016;15/5/2016;Standard Class;494;JW-16075
754;CA-2015-112116;16/3/2015;18/3/2015;Second Class;189;JE-15475
755;CA-2016-126809;9/4/2016;13/4/2016;Standard Class;495;EB-13750
756;CA-2014-105172;4/4/2014;9/4/2014;Standard Class;325;PK-18910
757;CA-2017-107293;5/9/2017;6/9/2017;First Class;38;CS-12400
758;US-2017-102890;30/6/2017;30/6/2017;Same Day;496;SG-20470
759;CA-2015-158554;9/11/2015;9/11/2015;Same Day;497;CM-12190
760;CA-2014-116239;4/3/2014;4/3/2014;Same Day;53;CL-12565
761;CA-2015-132101;19/3/2015;25/3/2015;Standard Class;271;JO-15550
762;CA-2015-129112;29/11/2015;30/11/2015;First Class;498;AW-10840
763;US-2017-152002;11/6/2017;11/6/2017;Same Day;232;DV-13465
764;CA-2017-165029;26/11/2017;30/11/2017;Standard Class;341;AH-10075
765;US-2014-157385;23/11/2014;25/11/2014;First Class;184;SC-20095
766;CA-2014-101602;15/12/2014;18/12/2014;First Class;499;MC-18100
767;CA-2016-109057;22/4/2016;27/4/2016;Standard Class;500;TT-21460
768;CA-2016-154403;23/5/2016;27/5/2016;Standard Class;400;AP-10720
769;CA-2016-102456;27/2/2016;1/3/2016;First Class;298;DL-12865
770;CA-2015-131338;9/8/2015;12/8/2015;First Class;269;NP-18325
771;CA-2016-109911;12/5/2016;16/5/2016;Standard Class;501;VG-21805
772;US-2016-132423;15/4/2016;19/4/2016;Standard Class;502;MY-18295
773;CA-2015-122826;23/6/2015;25/6/2015;Second Class;503;RD-19480
774;CA-2014-117317;19/10/2014;19/10/2014;Same Day;224;JF-15490
775;CA-2015-118423;24/3/2015;27/3/2015;First Class;504;DP-13390
776;CA-2017-149181;8/5/2017;12/5/2017;Standard Class;199;MD-17350
777;CA-2017-132234;16/10/2017;18/10/2017;First Class;200;MY-17380
778;CA-2017-158876;19/11/2017;21/11/2017;Second Class;493;AB-10150
779;CA-2016-164672;8/5/2016;13/5/2016;Second Class;335;GB-14530
780;US-2016-132857;11/12/2016;17/12/2016;Standard Class;223;CA-12775
781;CA-2017-116645;30/11/2017;4/12/2017;Standard Class;251;ME-17725
782;US-2016-115819;19/4/2016;24/4/2016;Second Class;124;JO-15280
783;CA-2014-156349;26/5/2014;30/5/2014;Standard Class;505;ML-17395
784;CA-2017-138380;21/12/2017;25/12/2017;Standard Class;454;YS-21880
785;US-2016-113509;15/3/2016;19/3/2016;Standard Class;485;PL-18925
786;CA-2015-130022;10/8/2015;16/8/2015;Standard Class;452;JK-16120
787;US-2016-118780;10/9/2016;14/9/2016;Second Class;44;PN-18775
788;CA-2017-108560;8/7/2017;15/7/2017;Standard Class;506;JC-15385
789;CA-2015-157084;19/12/2015;24/12/2015;Standard Class;507;JG-15160
790;CA-2015-164539;16/11/2015;22/11/2015;Standard Class;179;PO-19180
791;CA-2015-143119;24/9/2015;30/9/2015;Standard Class;508;MC-17275
792;CA-2017-101049;21/6/2017;25/6/2017;Second Class;239;AS-10240
793;CA-2016-106530;8/5/2016;8/5/2016;Same Day;53;CL-12565
794;CA-2014-168984;26/11/2014;2/12/2014;Standard Class;509;NW-18400
795;CA-2016-157266;26/5/2016;1/6/2016;Standard Class;510;TB-21280
796;US-2014-134712;29/11/2014;4/12/2014;Standard Class;511;BS-11380
797;CA-2015-111829;19/3/2015;20/3/2015;First Class;93;FH-14365
798;CA-2015-105221;1/11/2015;3/11/2015;First Class;92;VM-21685
799;CA-2015-120341;26/9/2015;29/9/2015;Second Class;228;SF-20200
800;CA-2014-135699;29/8/2014;29/8/2014;Same Day;512;HH-15010
801;US-2017-132444;18/11/2017;21/11/2017;First Class;513;CD-12280
802;CA-2014-127159;12/5/2014;15/5/2014;First Class;333;HL-15040
803;CA-2017-161809;20/1/2017;26/1/2017;Standard Class;514;TH-21100
804;CA-2017-127285;30/10/2017;6/11/2017;Standard Class;515;MM-18055
805;CA-2017-144526;30/4/2017;6/5/2017;Standard Class;426;QJ-19255
806;CA-2016-128531;24/11/2016;26/11/2016;Second Class;516;NS-18505
807;US-2015-157154;10/1/2015;15/1/2015;Standard Class;463;MM-17920
808;CA-2017-159457;19/10/2017;26/10/2017;Standard Class;503;RD-19480
809;CA-2016-107615;22/3/2016;25/3/2016;First Class;517;RB-19645
810;CA-2017-111647;3/7/2017;7/7/2017;Standard Class;362;RD-19585
811;CA-2015-150560;11/12/2015;12/12/2015;First Class;518;SW-20455
812;CA-2015-143077;17/9/2015;21/9/2015;Standard Class;246;SF-20965
813;CA-2016-122728;18/5/2016;24/5/2016;Standard Class;519;EB-13930
814;CA-2014-122882;7/9/2014;13/9/2014;Standard Class;116;SB-20290
815;US-2016-101497;29/9/2016;1/10/2016;Second Class;520;PS-18760
816;CA-2016-147585;7/11/2016;12/11/2016;Standard Class;119;CB-12535
817;CA-2017-149489;24/4/2017;27/4/2017;First Class;461;DK-12835
818;CA-2017-143798;10/12/2017;12/12/2017;First Class;498;AW-10840
819;CA-2014-142839;16/8/2014;20/8/2014;Standard Class;60;TS-21610
820;CA-2017-129833;9/12/2017;15/12/2017;Standard Class;521;HF-14995
821;US-2016-154361;14/3/2016;19/3/2016;Standard Class;522;HZ-14950
822;US-2016-158708;26/6/2016;29/6/2016;Second Class;438;AB-10255
823;CA-2015-156335;25/9/2015;28/9/2015;Second Class;286;PO-19195
824;CA-2015-148376;27/12/2015;31/12/2015;Standard Class;152;AG-10900
825;CA-2014-135657;3/6/2014;7/6/2014;Second Class;57;SC-20725
826;CA-2015-114069;13/7/2015;15/7/2015;Second Class;445;ND-18370
827;CA-2014-139857;2/2/2014;6/2/2014;Standard Class;523;CD-12790
828;CA-2016-106306;8/3/2016;8/3/2016;Same Day;311;PG-18820
829;CA-2015-100545;22/11/2015;26/11/2015;Standard Class;6;IM-15070
830;CA-2017-123491;30/10/2017;5/11/2017;Standard Class;524;JK-15205
831;CA-2015-145401;30/1/2015;4/2/2015;Standard Class;188;JP-15520
832;US-2017-124968;8/9/2017;13/9/2017;Second Class;515;MM-18055
833;CA-2017-104003;7/10/2017;13/10/2017;Standard Class;291;DC-13285
834;CA-2016-154788;30/4/2016;4/5/2016;Standard Class;253;JL-15835
835;CA-2016-169943;19/5/2016;24/5/2016;Standard Class;203;BN-11515
836;US-2015-123218;20/12/2015;25/12/2015;Standard Class;45;KD-16345
837;CA-2015-127453;19/12/2015;20/12/2015;First Class;272;JK-15370
838;US-2017-164056;29/4/2017;4/5/2017;Second Class;525;FM-14215
839;CA-2016-106894;7/2/2016;7/2/2016;Same Day;245;CA-12265
840;CA-2014-125136;28/9/2014;3/10/2014;Standard Class;471;KD-16495
841;US-2016-131149;10/7/2016;14/7/2016;Standard Class;110;LH-17155
842;CA-2017-101483;29/7/2017;1/8/2017;Second Class;166;AG-10675
843;CA-2015-130204;3/9/2015;9/9/2015;Standard Class;107;DB-13120
844;CA-2014-110527;9/8/2014;16/8/2014;Standard Class;526;ED-13885
845;CA-2017-152807;30/10/2017;3/11/2017;Standard Class;499;MC-18100
846;CA-2014-133270;6/6/2014;9/6/2014;First Class;299;BM-11785
847;CA-2016-155670;13/8/2016;17/8/2016;Second Class;192;EM-14065
848;US-2014-157406;25/4/2014;29/4/2014;Standard Class;527;DA-13450
849;CA-2015-139094;22/11/2015;27/11/2015;Standard Class;247;MO-17800
850;CA-2017-168837;14/10/2017;17/10/2017;First Class;528;JW-15955
851;CA-2017-116715;2/12/2017;5/12/2017;First Class;101;VW-21775
852;CA-2015-135622;8/12/2015;11/12/2015;Second Class;500;TT-21460
853;US-2015-107349;13/7/2015;15/7/2015;First Class;360;SL-20155
854;CA-2014-139017;11/5/2014;17/5/2014;Standard Class;529;RM-19375
855;CA-2014-141817;5/1/2014;12/1/2014;Standard Class;470;MB-18085
856;CA-2015-130785;5/9/2015;9/9/2015;Standard Class;152;AG-10900
857;CA-2016-110254;4/8/2016;8/8/2016;Standard Class;530;ML-17755
858;US-2014-158057;22/3/2014;26/3/2014;Standard Class;531;CC-12685
859;CA-2017-146024;2/3/2017;8/3/2017;Standard Class;35;SC-20770
860;CA-2016-129686;27/11/2016;29/11/2016;Second Class;56;GG-14650
861;CA-2014-118976;28/4/2014;3/5/2014;Standard Class;502;MY-18295
862;CA-2015-105347;24/11/2015;28/11/2015;Standard Class;25;DP-13000
863;CA-2016-124667;11/11/2016;16/11/2016;Standard Class;421;BD-11770
864;CA-2015-111094;9/7/2015;13/7/2015;Standard Class;119;CB-12535
865;CA-2017-166317;22/9/2017;26/9/2017;Standard Class;532;JE-15610
866;CA-2015-154326;15/2/2015;19/2/2015;Standard Class;533;RP-19855
867;CA-2014-102008;30/9/2014;4/10/2014;Standard Class;155;RA-19915
868;CA-2014-120474;1/12/2014;3/12/2014;First Class;262;RP-19390
869;CA-2014-104773;8/12/2014;13/12/2014;Standard Class;534;TB-21175
870;CA-2016-140774;5/9/2016;10/9/2016;Standard Class;535;BE-11455
871;US-2017-139465;27/8/2017;30/8/2017;First Class;281;MR-17545
872;CA-2016-100965;7/7/2016;11/7/2016;Standard Class;529;RM-19375
873;CA-2016-121034;8/8/2016;10/8/2016;Second Class;536;JF-15565
874;CA-2016-149461;13/11/2016;19/11/2016;Standard Class;217;AS-10135
875;CA-2017-158379;22/9/2017;26/9/2017;Second Class;351;JA-15970
876;US-2016-116729;25/12/2016;28/12/2016;First Class;137;GK-14620
877;CA-2016-164938;11/2/2016;13/2/2016;First Class;537;PB-19210
878;CA-2016-165484;23/10/2016;29/10/2016;Standard Class;97;HK-14890
879;CA-2014-132612;9/6/2014;11/6/2014;Second Class;384;FO-14305
880;US-2017-161193;20/11/2017;26/11/2017;Standard Class;538;BT-11680
881;CA-2015-131597;14/9/2015;18/9/2015;Standard Class;408;SP-20620
882;CA-2015-164833;4/6/2015;4/6/2015;Same Day;329;LL-16840
883;CA-2015-125423;13/12/2015;15/12/2015;Second Class;431;MC-17575
884;US-2014-130379;25/5/2014;29/5/2014;Standard Class;539;JL-15235
885;CA-2016-168956;16/2/2016;20/2/2016;Standard Class;106;EA-14035
886;CA-2016-167507;22/12/2016;28/12/2016;Standard Class;194;SA-20830
887;CA-2016-109344;8/2/2016;11/2/2016;Second Class;540;CH-12070
888;US-2015-140851;13/7/2015;15/7/2015;Second Class;541;ND-18460
889;CA-2014-103373;18/5/2014;24/5/2014;Standard Class;95;BS-11755
890;CA-2017-145884;21/10/2017;21/10/2017;Same Day;360;SL-20155
891;CA-2015-131422;5/11/2015;9/11/2015;Standard Class;335;GB-14530
892;CA-2017-162691;1/8/2017;7/8/2017;Standard Class;443;AS-10045
893;CA-2014-141278;21/6/2014;24/6/2014;First Class;529;RM-19375
894;CA-2017-122693;19/2/2017;21/2/2017;Second Class;469;NH-18610
895;CA-2014-117345;1/8/2014;5/8/2014;Standard Class;542;BF-10975
896;CA-2016-157763;18/7/2016;23/7/2016;Standard Class;543;KH-16330
897;CA-2015-135391;9/2/2015;11/2/2015;Second Class;136;FA-14230
898;US-2017-113852;29/7/2017;2/8/2017;Standard Class;544;GW-14605
899;US-2017-158512;12/1/2017;17/1/2017;Second Class;527;DA-13450
900;CA-2017-128370;10/9/2017;10/9/2017;Same Day;396;FH-14275
901;CA-2015-160472;20/7/2015;25/7/2015;Second Class;344;RK-19300
902;CA-2014-114643;13/6/2014;17/6/2014;Standard Class;525;FM-14215
903;US-2017-158218;12/5/2017;15/5/2017;Second Class;142;AC-10420
904;CA-2015-121608;3/9/2015;5/9/2015;First Class;81;JB-15400
905;US-2017-121251;26/3/2017;27/3/2017;First Class;307;GM-14440
906;CA-2014-151078;12/11/2014;12/11/2014;Same Day;168;RF-19840
907;US-2016-100839;13/10/2016;17/10/2016;Standard Class;545;NC-18625
908;US-2017-116659;12/11/2017;12/11/2017;Same Day;244;NG-18355
909;CA-2017-118857;15/4/2017;18/4/2017;First Class;341;AH-10075
910;CA-2015-127110;25/6/2015;1/7/2015;Standard Class;540;CH-12070
911;CA-2016-148201;26/8/2016;29/8/2016;Second Class;231;CC-12145
912;CA-2014-116932;21/7/2014;25/7/2014;Standard Class;546;ME-18010
913;CA-2017-142888;21/11/2017;25/11/2017;Standard Class;547;BP-11230
914;CA-2014-147914;4/6/2014;9/6/2014;Standard Class;89;MP-17470
915;US-2016-112977;10/3/2016;16/3/2016;Standard Class;171;CJ-12010
916;CA-2017-112039;25/3/2017;29/3/2017;Standard Class;548;JC-15775
917;CA-2017-118885;29/12/2017;2/1/2018;Standard Class;507;JG-15160
918;US-2017-166611;28/3/2017;2/4/2017;Standard Class;317;CK-12760
919;CA-2015-109512;5/3/2015;5/3/2015;Same Day;167;LF-17185
920;CA-2016-118570;13/11/2016;17/11/2016;Standard Class;255;CC-12430
921;CA-2017-154718;19/1/2017;23/1/2017;Second Class;298;DL-12865
922;CA-2016-147578;22/4/2016;26/4/2016;Second Class;39;PG-18895
923;CA-2014-140165;13/5/2014;15/5/2014;First Class;383;EH-14005
924;CA-2014-142587;21/10/2014;22/10/2014;First Class;15;TB-21520
925;CA-2014-157623;14/3/2014;18/3/2014;Standard Class;159;DK-13225
926;CA-2017-145310;22/12/2017;24/12/2017;Second Class;188;JP-15520
927;CA-2016-100083;24/11/2016;29/11/2016;Standard Class;264;CD-11980
928;US-2017-108063;2/12/2017;5/12/2017;First Class;549;AS-10090
929;CA-2015-109197;31/12/2015;4/1/2016;Standard Class;124;JO-15280
930;CA-2017-141789;3/10/2017;6/10/2017;First Class;550;AC-10450
931;CA-2014-169775;29/8/2014;2/9/2014;Second Class;363;RA-19945
932;CA-2016-140543;29/6/2016;3/7/2016;Second Class;477;Co-12640
933;CA-2016-151141;20/8/2016;23/8/2016;First Class;109;DW-13480
934;CA-2017-167094;21/10/2017;22/10/2017;First Class;461;DK-12835
935;CA-2017-154410;21/10/2017;24/10/2017;First Class;551;MD-17860
936;US-2016-150567;17/5/2016;21/5/2016;Standard Class;533;RP-19855
937;CA-2015-157959;3/2/2015;4/2/2015;First Class;460;RW-19540
938;CA-2017-105886;18/12/2017;23/12/2017;Standard Class;552;DB-13660
939;CA-2016-105963;15/11/2016;22/11/2016;Standard Class;35;SC-20770
940;CA-2017-121503;3/7/2017;6/7/2017;Second Class;396;FH-14275
941;CA-2014-103366;15/1/2014;17/1/2014;First Class;553;EH-13990
942;CA-2017-124597;30/4/2017;5/5/2017;Standard Class;358;AS-10630
943;CA-2015-105634;8/11/2015;14/11/2015;Standard Class;457;HA-14905
944;CA-2015-123673;30/10/2015;1/11/2015;Second Class;540;CH-12070
945;US-2017-111423;17/8/2017;19/8/2017;First Class;554;EH-13765
946;CA-2015-125178;3/10/2015;9/10/2015;Standard Class;90;MZ-17515
947;CA-2016-156685;8/7/2016;10/7/2016;Second Class;555;SC-20230
948;CA-2017-126865;5/12/2017;7/12/2017;Second Class;269;NP-18325
949;CA-2017-102834;9/3/2017;13/3/2017;Standard Class;353;LW-16990
950;US-2016-139710;9/6/2016;15/6/2016;Standard Class;412;GM-14680
951;CA-2017-121538;28/11/2017;1/12/2017;First Class;303;RH-19495
952;US-2017-101539;16/3/2017;18/3/2017;Second Class;92;VM-21685
953;CA-2016-152121;27/11/2016;29/11/2016;Second Class;114;CC-12670
954;CA-2017-161200;6/8/2017;10/8/2017;Second Class;278;SV-20365
955;CA-2017-101245;27/11/2017;3/12/2017;Standard Class;353;LW-16990
956;CA-2015-141768;25/5/2015;27/5/2015;Second Class;473;NP-18685
957;CA-2016-112109;8/7/2016;12/7/2016;Standard Class;556;JE-15715
958;CA-2017-144064;29/8/2017;1/9/2017;First Class;435;CP-12085
959;CA-2016-108581;20/6/2016;26/6/2016;Standard Class;106;EA-14035
960;CA-2017-157987;2/9/2017;6/9/2017;Standard Class;557;AC-10615
961;CA-2017-110905;10/9/2017;15/9/2017;Second Class;356;RW-19690
962;CA-2017-165841;21/12/2017;28/12/2017;Standard Class;204;DB-13210
963;CA-2017-117485;23/9/2017;29/9/2017;Standard Class;218;BD-11320
964;CA-2017-140242;6/5/2017;11/5/2017;Standard Class;530;ML-17755
965;CA-2014-148950;14/12/2014;19/12/2014;Standard Class;558;JD-16015
966;CA-2014-110408;18/10/2014;20/10/2014;Second Class;128;AS-10225
967;CA-2015-109939;8/5/2015;12/5/2015;Standard Class;212;AA-10375
968;CA-2016-112669;14/4/2016;14/4/2016;Same Day;447;KT-16465
969;CA-2015-119592;14/12/2015;16/12/2015;Second Class;153;MM-18280
970;CA-2014-122749;3/12/2014;9/12/2014;Standard Class;160;NG-18430
971;CA-2014-164721;25/11/2014;27/11/2014;Second Class;430;LW-16825
972;CA-2016-147417;25/7/2016;27/7/2016;First Class;559;CB-12415
973;CA-2015-127509;9/11/2015;13/11/2015;Standard Class;549;AS-10090
974;CA-2017-111374;24/2/2017;28/2/2017;Standard Class;559;CB-12415
975;CA-2017-133648;25/6/2017;2/7/2017;Standard Class;530;ML-17755
976;US-2017-147221;2/12/2017;4/12/2017;Second Class;560;JS-16030
977;CA-2014-131905;6/2/2014;9/2/2014;First Class;541;ND-18460
978;CA-2017-166128;11/4/2017;18/4/2017;Standard Class;561;LW-17215
979;CA-2017-163510;25/12/2017;28/12/2017;Second Class;528;JW-15955
980;US-2017-143028;11/4/2017;18/4/2017;Standard Class;338;SC-20050
981;CA-2014-111150;31/12/2014;4/1/2015;Standard Class;339;RW-19630
982;CA-2017-165386;3/8/2017;4/8/2017;First Class;497;CM-12190
983;CA-2014-116407;15/11/2014;21/11/2014;Standard Class;441;JF-15190
984;CA-2015-155761;11/12/2015;11/12/2015;Same Day;562;SC-20800
985;CA-2016-145905;18/9/2016;23/9/2016;Standard Class;563;AM-10705
986;CA-2015-113110;19/3/2015;23/3/2015;Standard Class;319;BK-11260
987;CA-2016-168354;19/9/2016;21/9/2016;First Class;564;RH-19510
988;US-2017-111241;20/8/2017;22/8/2017;Second Class;422;GM-14500
989;CA-2015-114237;13/3/2015;15/3/2015;First Class;508;MC-17275
990;CA-2016-113516;8/9/2016;10/9/2016;Second Class;92;VM-21685
991;CA-2015-117961;26/11/2015;30/11/2015;Standard Class;324;GP-14740
992;CA-2016-128923;9/12/2016;13/12/2016;Standard Class;335;GB-14530
993;CA-2017-162481;25/9/2017;29/9/2017;Standard Class;565;CT-11995
994;CA-2015-119214;23/1/2015;27/1/2015;Standard Class;195;CW-11905
995;CA-2015-122287;18/6/2015;23/6/2015;Standard Class;382;SN-20560
996;CA-2015-104493;2/10/2015;8/10/2015;Standard Class;183;EB-13705
997;US-2017-158946;18/11/2017;23/11/2017;Standard Class;479;JW-15220
998;CA-2014-129168;17/8/2014;23/8/2014;Standard Class;11;KB-16585
999;CA-2016-131835;17/7/2016;21/7/2016;Standard Class;566;MC-17590
1000;CA-2015-142237;11/7/2015;13/7/2015;First Class;243;CK-12595
1001;CA-2016-136434;1/12/2016;7/12/2016;Standard Class;503;RD-19480
1002;CA-2017-120376;22/12/2017;25/12/2017;First Class;237;TP-21130
1003;CA-2014-106439;31/10/2014;4/11/2014;Standard Class;56;GG-14650
1004;CA-2015-133452;13/4/2015;19/4/2015;Standard Class;234;ZC-21910
1005;CA-2016-146521;21/7/2016;23/7/2016;Second Class;567;CC-12610
1006;US-2017-110996;20/11/2017;25/11/2017;Standard Class;568;KA-16525
1007;CA-2016-129693;26/11/2016;2/12/2016;Standard Class;569;TC-20980
1008;CA-2017-122504;7/11/2017;12/11/2017;Second Class;490;DB-13270
1009;CA-2014-131051;1/12/2014;5/12/2014;Standard Class;310;TR-21325
1010;CA-2017-140676;12/9/2017;15/9/2017;First Class;570;BF-11080
1011;CA-2015-120103;24/12/2015;29/12/2015;Standard Class;334;MS-17365
1012;CA-2017-104647;23/2/2017;1/3/2017;Standard Class;243;CK-12595
1013;CA-2014-110352;23/11/2014;29/11/2014;Standard Class;526;ED-13885
1014;CA-2016-140501;23/6/2016;28/6/2016;Standard Class;6;IM-15070
1015;CA-2015-139290;26/10/2015;30/10/2015;Standard Class;200;MY-17380
1016;CA-2017-166142;15/7/2017;19/7/2017;Standard Class;571;MM-17260
1017;CA-2014-145926;17/11/2014;21/11/2014;Standard Class;89;MP-17470
1018;CA-2015-149678;13/4/2015;15/4/2015;Second Class;498;AW-10840
1019;US-2015-164357;25/11/2015;29/11/2015;Standard Class;12;SF-20065
1020;US-2016-146570;15/5/2016;20/5/2016;Standard Class;18;SN-20710
1021;CA-2017-124401;7/9/2017;12/9/2017;Standard Class;77;RD-19900
1022;US-2014-140116;10/3/2014;17/3/2014;Standard Class;410;KT-16480
1023;CA-2014-123295;18/7/2014;18/7/2014;Same Day;572;AH-10120
1024;CA-2017-167101;24/3/2017;28/3/2017;Second Class;313;BM-11650
1025;US-2014-167633;30/9/2014;5/10/2014;Standard Class;573;BW-11200
1026;US-2014-152723;26/9/2014;26/9/2014;Same Day;429;HG-14965
1027;CA-2015-164882;31/10/2015;31/10/2015;Same Day;66;SG-20080
1028;CA-2015-159786;12/10/2015;17/10/2015;Second Class;344;RK-19300
1029;CA-2016-130267;19/9/2016;23/9/2016;Standard Class;574;SW-20245
1030;CA-2017-155460;13/4/2017;15/4/2017;First Class;339;RW-19630
1031;US-2017-168690;7/1/2017;13/1/2017;Standard Class;466;TS-21085
1032;CA-2017-158246;9/11/2017;11/11/2017;First Class;81;JB-15400
1033;CA-2017-167381;22/9/2017;24/9/2017;Second Class;383;EH-14005
1034;CA-2017-144862;1/12/2017;5/12/2017;Standard Class;383;EH-14005
1035;CA-2014-126032;23/6/2014;28/6/2014;Standard Class;575;BS-11665
1036;CA-2015-134859;4/10/2015;9/10/2015;Standard Class;452;JK-16120
1037;US-2014-114188;20/5/2014;22/5/2014;Second Class;576;RF-19345
1038;CA-2015-156524;20/11/2015;26/11/2015;Standard Class;298;DL-12865
1039;CA-2015-122210;30/11/2015;4/12/2015;Standard Class;577;WB-21850
1040;CA-2015-156377;31/12/2015;5/1/2016;Standard Class;578;TB-21625
1041;US-2017-157896;16/11/2017;16/11/2017;Same Day;559;CB-12415
1042;CA-2014-159520;6/6/2014;11/6/2014;Standard Class;266;GT-14635
1043;CA-2016-155481;1/9/2016;5/9/2016;Standard Class;159;DK-13225
1044;US-2016-152051;25/6/2016;29/6/2016;Standard Class;379;TS-21160
1045;CA-2014-141607;12/12/2014;17/12/2014;Standard Class;577;WB-21850
1046;CA-2017-102771;31/3/2017;5/4/2017;Standard Class;158;DO-13435
1047;US-2017-139969;19/11/2017;26/11/2017;Standard Class;579;AF-10870
1048;CA-2014-167360;24/11/2014;29/11/2014;Second Class;580;RB-19435
1049;CA-2015-123505;22/11/2015;26/11/2015;Standard Class;482;AR-10540
1050;CA-2016-117282;14/7/2016;18/7/2016;Standard Class;113;DR-12880
1051;US-2016-120460;30/4/2016;5/5/2016;Standard Class;409;BF-11170
1052;CA-2016-111115;25/7/2016;27/7/2016;Second Class;446;LB-16735
1053;CA-2014-124646;22/6/2014;24/6/2014;First Class;232;DV-13465
1054;CA-2017-148166;21/10/2017;26/10/2017;Standard Class;72;NK-18490
1055;CA-2016-159737;3/9/2016;9/9/2016;Standard Class;230;CS-11950
1056;CA-2016-141019;14/5/2016;14/5/2016;Same Day;110;LH-17155
1057;CA-2016-101938;7/1/2016;12/1/2016;Standard Class;109;DW-13480
1058;CA-2017-166296;13/3/2017;19/3/2017;Standard Class;581;KF-16285
1059;CA-2016-154018;13/10/2016;19/10/2016;Standard Class;67;HA-14920
1060;CA-2017-117870;27/1/2017;30/1/2017;Second Class;582;JH-15820
1061;US-2017-137491;19/11/2017;25/11/2017;Standard Class;19;LC-16930
1062;CA-2014-152296;1/8/2014;3/8/2014;First Class;583;IL-15100
1063;CA-2016-112025;30/7/2016;4/8/2016;Standard Class;61;LS-16975
1064;CA-2015-132507;30/7/2015;3/8/2015;Second Class;567;CC-12610
1065;CA-2016-125738;15/10/2016;21/10/2016;Standard Class;584;PB-18805
1066;CA-2016-128818;7/5/2016;11/5/2016;Standard Class;171;CJ-12010
1067;CA-2017-124576;1/8/2017;4/8/2017;Second Class;97;HK-14890
1068;CA-2016-101378;14/7/2016;14/7/2016;Same Day;585;RH-19600
1069;CA-2017-143063;10/8/2017;15/8/2017;Standard Class;583;IL-15100
1070;CA-2016-118913;25/6/2016;29/6/2016;Standard Class;239;AS-10240
1071;CA-2016-128412;10/12/2016;17/12/2016;Standard Class;276;AP-10915
1072;CA-2016-136483;1/12/2016;6/12/2016;Standard Class;370;AG-10390
1073;CA-2014-163013;28/11/2014;4/12/2014;Standard Class;570;BF-11080
1074;CA-2015-135363;28/3/2015;2/4/2015;Standard Class;238;CK-12205
1075;US-2014-165659;1/6/2014;6/6/2014;Standard Class;300;LT-17110
1076;CA-2015-138002;6/9/2015;12/9/2015;Standard Class;458;BT-11305
1077;CA-2015-128860;29/6/2015;5/7/2015;Standard Class;57;SC-20725
1078;CA-2016-164350;10/9/2016;12/9/2016;Second Class;345;CG-12040
1079;US-2014-103905;14/7/2014;20/7/2014;Standard Class;586;AW-10930
1080;CA-2015-129854;22/8/2015;26/8/2015;Standard Class;43;RB-19705
1081;CA-2014-125556;14/11/2014;16/11/2014;Second Class;587;ML-17410
1082;CA-2016-162313;27/11/2016;30/11/2016;First Class;147;VB-21745
1083;CA-2017-107874;21/11/2017;25/11/2017;Standard Class;350;SW-20275
1084;CA-2017-129378;1/10/2017;2/10/2017;First Class;516;NS-18505
1085;CA-2014-151953;20/9/2014;25/9/2014;Standard Class;588;DB-13555
1086;CA-2017-130841;28/7/2017;1/8/2017;Standard Class;589;MH-17620
1087;CA-2015-131884;6/12/2015;6/12/2015;Same Day;590;DK-13375
1088;CA-2017-121909;31/7/2017;5/8/2017;Standard Class;106;EA-14035
1089;CA-2016-106383;19/3/2016;21/3/2016;Second Class;591;BT-11440
1090;CA-2017-130771;29/7/2017;3/8/2017;Standard Class;157;LA-16780
1091;CA-2016-139157;1/10/2016;5/10/2016;Standard Class;412;GM-14680
1092;CA-2014-128055;31/3/2014;5/4/2014;Standard Class;398;AA-10315
1093;CA-2017-157091;26/6/2017;1/7/2017;Standard Class;592;DB-13405
1094;CA-2017-132122;9/7/2017;14/7/2017;Standard Class;582;JH-15820
1095;CA-2015-123232;14/12/2015;16/12/2015;Second Class;265;DJ-13630
1096;CA-2017-104066;5/12/2017;10/12/2017;Standard Class;426;QJ-19255
1097;CA-2015-145849;15/9/2015;17/9/2015;Second Class;565;CT-11995
1098;CA-2016-122322;15/7/2016;21/7/2016;Standard Class;564;RH-19510
1099;CA-2017-166849;20/4/2017;26/4/2017;Standard Class;320;SJ-20125
1100;CA-2016-146633;15/11/2016;17/11/2016;Second Class;593;TG-21310
1101;US-2016-126893;26/11/2016;1/12/2016;Standard Class;565;CT-11995
1102;CA-2017-103380;21/11/2017;25/11/2017;Standard Class;594;BF-11005
1103;CA-2015-116092;15/2/2015;18/2/2015;Second Class;595;JM-16195
1104;CA-2016-117849;15/4/2016;17/4/2016;Second Class;452;JK-16120
1105;CA-2015-169201;28/9/2015;1/10/2015;First Class;429;HG-14965
1106;CA-2016-164091;17/9/2016;22/9/2016;Standard Class;157;LA-16780
1107;CA-2017-105214;16/6/2017;19/6/2017;First Class;60;TS-21610
1108;CA-2015-117611;8/11/2015;10/11/2015;Second Class;596;MZ-17335
1109;US-2015-137960;18/12/2015;18/12/2015;Same Day;597;MW-18220
1110;CA-2017-122994;6/2/2017;9/2/2017;First Class;598;MV-17485
